# param-sweep per-variant results (fail-closed gate: bash parity/param-sweep-verify.sh <workDir>)
# corpus: 1900 variants, parity/programs/param-sweep/manifest.tsv (regeneration drift-checked inside the gate)
# authority: noisemaker@c9ee8a049b2b63cd300da67c01ee40baf29dc288 (v1.0.176), worktree checkout passed via NM_REFERENCE_ROOT
# oracle: node tools/export-graph.mjs — 1900/1900 ok
# candidate: C# live DSL compiler, dotnet 8 tools/graphdump — 1900/1900 ok (no Unity editor)
# diff: python3 parity/graph-diff.py — 1900 graph-clean, 0 FAIL, 0 missing, exit 0
classicNoisedeck__moodscape__interp__hermite	PASS
classicNoisedeck__moodscape__interp__catmullRom3x3	PASS
classicNoisedeck__moodscape__interp__catmullRom4x4	PASS
classicNoisedeck__moodscape__interp__bSpline3x3	PASS
classicNoisedeck__moodscape__interp__bSpline4x4	PASS
classicNoisedeck__moodscape__interp__sine	PASS
classicNoisedeck__moodscape__noiseScale__mid	PASS
classicNoisedeck__moodscape__speed__mid	PASS
classicNoisedeck__moodscape__refractAmt__mid	PASS
classicNoisedeck__moodscape__ridges__false	PASS
classicNoisedeck__moodscape__wrap__false	PASS
classicNoisedeck__moodscape__seed__mid	PASS
classicNoisedeck__moodscape__colorMode__mono	PASS
classicNoisedeck__moodscape__colorMode__rgb	PASS
classicNoisedeck__moodscape__colorMode__oklab	PASS
classicNoisedeck__moodscape__hueRotation__mid	PASS
classicNoisedeck__moodscape__hueRange__mid	PASS
classicNoisedeck__moodscape__intensity__mid	PASS
classicNoisedeck__noise3d__type__cubes	PASS
classicNoisedeck__noise3d__type__sine	PASS
classicNoisedeck__noise3d__type__spheres	PASS
classicNoisedeck__noise3d__type__wavyPlanes	PASS
classicNoisedeck__noise3d__type__wavyPlaneLower	PASS
classicNoisedeck__noise3d__type__wavyPlaneUpper	PASS
classicNoisedeck__noise3d__ridges__true	PASS
classicNoisedeck__noise3d__seed__mid	PASS
classicNoisedeck__noise3d__speed__mid	PASS
classicNoisedeck__noise3d__scale__mid	PASS
classicNoisedeck__noise3d__offsetX__mid	PASS
classicNoisedeck__noise3d__offsetY__mid	PASS
classicNoisedeck__noise3d__colorMode__depthMap	PASS
classicNoisedeck__noise3d__colorMode__mono	PASS
classicNoisedeck__noise3d__colorMode__surfaceNormal	PASS
classicNoisedeck__noise3d__hueRotation__mid	PASS
classicNoisedeck__noise3d__hueRange__mid	PASS
classicNoisedeck__refract__blendMode__add	PASS
classicNoisedeck__refract__blendMode__colorBurn	PASS
classicNoisedeck__refract__blendMode__colorDodge	PASS
classicNoisedeck__refract__blendMode__darken	PASS
classicNoisedeck__refract__blendMode__difference	PASS
classicNoisedeck__refract__blendMode__exclusion	PASS
classicNoisedeck__refract__blendMode__glow	PASS
classicNoisedeck__refract__blendMode__hardLight	PASS
classicNoisedeck__refract__blendMode__lighten	PASS
classicNoisedeck__refract__blendMode__multiply	PASS
