synth/remap	zone0_v28	no enumerable values
synth/remap	zone0_v29	no enumerable values
synth/remap	zone0_v30	no enumerable values
synth/remap	zone0_v31	no enumerable values
synth/remap	zone1_tex	type surface not swept
synth/remap	zone1_bounds	no enumerable values
synth/remap	zone1_v0	no enumerable values
synth/remap	zone1_v1	no enumerable values
synth/remap	zone1_v2	no enumerable values
synth/remap	zone1_v3	no enumerable values
synth/remap	zone1_v4	no enumerable values
synth/remap	zone1_v5	no enumerable values
synth/remap	zone1_v6	no enumerable values
synth/remap	zone1_v7	no enumerable values
synth/remap	zone1_v8	no enumerable values
synth/remap	zone1_v9	no enumerable values
synth/remap	zone1_v10	no enumerable values
synth/remap	zone1_v11	no enumerable values
synth/remap	zone1_v12	no enumerable values
synth/remap	zone1_v13	no enumerable values
synth/remap	zone1_v14	no enumerable values
synth/remap	zone1_v15	no enumerable values
synth/remap	zone1_v16	no enumerable values
synth/remap	zone1_v17	no enumerable values
synth/remap	zone1_v18	no enumerable values
synth/remap	zone1_v19	no enumerable values
synth/remap	zone1_v20	no enumerable values
synth/remap	zone1_v21	no enumerable values
synth/remap	zone1_v22	no enumerable values
synth/remap	zone1_v23	no enumerable values
synth/remap	zone1_v24	no enumerable values
synth/remap	zone1_v25	no enumerable values
synth/remap	zone1_v26	no enumerable values
synth/remap	zone1_v27	no enumerable values
synth/remap	zone1_v28	no enumerable values
synth/remap	zone1_v29	no enumerable values
synth/remap	zone1_v30	no enumerable values
synth/remap	zone1_v31	no enumerable values
synth/remap	zone2_tex	type surface not swept
synth/remap	zone2_bounds	no enumerable values
synth/remap	zone2_v0	no enumerable values
synth/remap	zone2_v1	no enumerable values
synth/remap	zone2_v2	no enumerable values
synth/remap	zone2_v3	no enumerable values
synth/remap	zone2_v4	no enumerable values
synth/remap	zone2_v5	no enumerable values
synth/remap	zone2_v6	no enumerable values
synth/remap	zone2_v7	no enumerable values
synth/remap	zone2_v8	no enumerable values
synth/remap	zone2_v9	no enumerable values
synth/remap	zone2_v10	no enumerable values
synth/remap	zone2_v11	no enumerable values
synth/remap	zone2_v12	no enumerable values
synth/remap	zone2_v13	no enumerable values
synth/remap	zone2_v14	no enumerable values
synth/remap	zone2_v15	no enumerable values
synth/remap	zone2_v16	no enumerable values
synth/remap	zone2_v17	no enumerable values
synth/remap	zone2_v18	no enumerable values
synth/remap	zone2_v19	no enumerable values
synth/remap	zone2_v20	no enumerable values
synth/remap	zone2_v21	no enumerable values
synth/remap	zone2_v22	no enumerable values
synth/remap	zone2_v23	no enumerable values
synth/remap	zone2_v24	no enumerable values
synth/remap	zone2_v25	no enumerable values
synth/remap	zone2_v26	no enumerable values
synth/remap	zone2_v27	no enumerable values
synth/remap	zone2_v28	no enumerable values
synth/remap	zone2_v29	no enumerable values
synth/remap	zone2_v30	no enumerable values
synth/remap	zone2_v31	no enumerable values
synth/remap	zone3_tex	type surface not swept
synth/remap	zone3_bounds	no enumerable values
synth/remap	zone3_v0	no enumerable values
synth/remap	zone3_v1	no enumerable values
synth/remap	zone3_v2	no enumerable values
synth/remap	zone3_v3	no enumerable values
synth/remap	zone3_v4	no enumerable values
synth/remap	zone3_v5	no enumerable values
synth/remap	zone3_v6	no enumerable values
synth/remap	zone3_v7	no enumerable values
synth/remap	zone3_v8	no enumerable values
synth/remap	zone3_v9	no enumerable values
synth/remap	zone3_v10	no enumerable values
synth/remap	zone3_v11	no enumerable values
synth/remap	zone3_v12	no enumerable values
synth/remap	zone3_v13	no enumerable values
synth/remap	zone3_v14	no enumerable values
synth/remap	zone3_v15	no enumerable values
synth/remap	zone3_v16	no enumerable values
synth/remap	zone3_v17	no enumerable values
synth/remap	zone3_v18	no enumerable values
synth/remap	zone3_v19	no enumerable values
synth/remap	zone3_v20	no enumerable values
synth/remap	zone3_v21	no enumerable values
synth/remap	zone3_v22	no enumerable values
synth/remap	zone3_v23	no enumerable values
synth/remap	zone3_v24	no enumerable values
